               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.039554,            0.040276,          0.00077303,             0.32499,             0.22622,             0.15401,            0.044778,            0.077797,            0.073948,           0.0054016,           0.0090371,           0.0090371,           0.0090371
                 115,            0.039618,            0.039165,          0.00074616,             0.31526,             0.21988,             0.13938,            0.037779,            0.076491,            0.070277,           0.0047168,           0.0090208,           0.0090208,           0.0090208
                 116,            0.038857,            0.038749,          0.00075807,             0.21168,             0.23579,             0.12587,            0.034785,            0.076918,            0.071017,           0.0052659,           0.0090043,           0.0090043,           0.0090043
                 117,            0.038823,            0.038083,          0.00083829,             0.25494,             0.23085,             0.14459,             0.03617,            0.076466,            0.072417,           0.0050937,           0.0089876,           0.0089876,           0.0089876
                 118,            0.038789,            0.038543,          0.00067184,             0.29211,             0.20316,             0.14276,            0.038086,            0.075655,            0.071303,           0.0040389,           0.0089709,           0.0089709,           0.0089709
                 119,            0.039673,            0.038476,          0.00072046,             0.24038,             0.22309,              0.1434,            0.039594,            0.076219,            0.074391,           0.0039138,            0.008954,            0.008954,            0.008954
                 120,            0.038939,             0.03876,          0.00072003,             0.23992,             0.22588,             0.12723,            0.035201,             0.07885,            0.076727,           0.0049083,           0.0089371,           0.0089371,           0.0089371
                 121,            0.038119,             0.04022,            0.000636,             0.27976,             0.19542,             0.12276,             0.03272,            0.077957,            0.073814,           0.0038734,             0.00892,             0.00892,             0.00892
                 122,             0.03844,            0.038169,          0.00064728,             0.19899,             0.25062,              0.1191,            0.034483,            0.077424,            0.073649,           0.0042312,           0.0089028,           0.0089028,           0.0089028
                 123,             0.03789,            0.039461,          0.00059015,             0.31446,             0.23671,             0.15505,            0.046246,            0.076286,            0.072468,           0.0036562,           0.0088855,           0.0088855,           0.0088855
                 124,            0.038054,             0.03857,          0.00059852,             0.35666,             0.19514,             0.15039,            0.040002,            0.078419,            0.078039,           0.0054869,           0.0088681,           0.0088681,           0.0088681
                 125,            0.038239,            0.038118,          0.00072226,             0.26622,             0.19987,             0.12292,            0.030647,            0.079519,            0.076092,           0.0058592,           0.0088505,           0.0088505,           0.0088505
                 126,            0.037568,            0.037285,          0.00074707,             0.23851,              0.2005,             0.12146,            0.032228,            0.078146,            0.075292,           0.0058243,           0.0088329,           0.0088329,           0.0088329
                 127,            0.036823,            0.038114,          0.00080372,             0.22676,             0.17247,             0.12222,            0.032393,            0.077756,            0.072685,           0.0049576,           0.0088151,           0.0088151,           0.0088151
                 128,            0.037624,            0.038306,          0.00057955,             0.37311,             0.21559,             0.15795,            0.039763,             0.07661,            0.072768,           0.0044582,           0.0087972,           0.0087972,           0.0087972
                 129,            0.036922,            0.038713,          0.00066718,             0.32855,             0.19457,               0.134,            0.033004,            0.077207,            0.073949,           0.0043825,           0.0087792,           0.0087792,           0.0087792
                 130,            0.036457,            0.037161,          0.00077371,             0.20482,             0.21568,             0.11889,            0.030775,            0.078982,            0.079331,           0.0044953,           0.0087611,           0.0087611,           0.0087611
                 131,            0.036889,             0.03644,          0.00069014,             0.29424,             0.19468,             0.13492,            0.034427,            0.079016,            0.077629,           0.0045707,           0.0087429,           0.0087429,           0.0087429
                 132,            0.035536,            0.035884,          0.00052188,             0.31109,             0.20597,             0.14331,            0.038684,            0.078315,            0.079422,           0.0047099,           0.0087246,           0.0087246,           0.0087246
